Page Path,Writer,Team,GitHub Username
_docs/_api/api_campaigns.md,Lydia,Core Messaging,lydia-xie
_docs/_api/api_limits.md,Docs Team,,docs-team
_docs/_api/basics.md,Docs Team,,docs-team
_docs/_api/data_retention.md,Docs Team,,docs-team
_docs/_api/data_retention/messaging_interaction_data.md,Docs Team,,docs-team
_docs/_api/endpoints/apps.md,Docs Team,,docs-team
_docs/_api/endpoints/apps/post_update_push_credential.md,Docs Team,,docs-team
_docs/_api/endpoints/catalogs.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_fields.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_fields/asynchronous.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_fields/asynchronous/delete_catalog_field.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_fields/asynchronous/post_create_catalog_fields.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/asynchronous.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/asynchronous/delete_catalog_items_bulk.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/asynchronous/patch_catalog_items_bulk.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/asynchronous/post_create_catalog_items_bulk.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/asynchronous/put_update_catalog_items.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous/delete_catalog_item.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous/get_catalog_item_details.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous/get_catalog_items_details_bulk.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous/patch_catalog_item.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous/post_create_catalog_item.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_items/synchronous/put_update_catalog_item.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_management.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_management/synchronous.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_management/synchronous/delete_catalog.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_management/synchronous/get_list_catalogs.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_management/synchronous/post_create_catalog.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_selections.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_selections/asynchronous.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_selections/asynchronous/delete_catalog_selection.md,Zair,Core Objects,zairro
_docs/_api/endpoints/catalogs/catalog_selections/asynchronous/post_create_catalog_selections.md,Zair,Core Objects,zairro
_docs/_api/endpoints/cdi.md,Zair,Cloud Data Ingestion and Transformation,zairro
_docs/_api/endpoints/cdi/get_integration_list.md,Zair,Cloud Data Ingestion and Transformation,zairro
_docs/_api/endpoints/cdi/get_job_sync_status.md,Zair,Cloud Data Ingestion and Transformation,zairro
_docs/_api/endpoints/cdi/post_job_sync.md,Zair,Cloud Data Ingestion and Transformation,zairro
_docs/_api/endpoints/email.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/delete_remove_subscription_state.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/get_list_hard_bounces.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/get_query_by_email_or_phone.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/get_query_unsubscribed_email_addresses.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/post_blacklist.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/post_blocklist.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/post_email_subscription_status.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/post_remove_hard_bounces.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/email/post_remove_spam.md,Lydia,Email,lydia-xie
_docs/_api/endpoints/export.md,Docs Team,,docs-team
_docs/_api/endpoints/export/campaigns.md,Lydia,Core Messaging,lydia-xie
_docs/_api/endpoints/export/campaigns/get_campaign_analytics.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/campaigns/get_campaign_details.md,Lydia,Core Messaging,lydia-xie
_docs/_api/endpoints/export/campaigns/get_campaigns.md,Lydia,Core Messaging,lydia-xie
_docs/_api/endpoints/export/campaigns/get_send_analytics.md,Lydia,Core Messaging,lydia-xie
_docs/_api/endpoints/export/canvas.md,Lydia,"Canvas, Logic, & Execution",lydia-xie
_docs/_api/endpoints/export/canvas/get_canvas_analytics.md,Lydia,"Canvas, Logic, & Execution",lydia-xie
_docs/_api/endpoints/export/canvas/get_canvas_analytics_summary.md,Lydia,"Canvas, Logic, & Execution",lydia-xie
_docs/_api/endpoints/export/canvas/get_canvas_details.md,Lydia,Messaging Experience,lydia-xie
_docs/_api/endpoints/export/canvas/get_canvases.md,Lydia,Messaging Experience,lydia-xie
_docs/_api/endpoints/export/custom_attributes.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/custom_attributes/get_custom_attributes.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/custom_events.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/custom_events/get_custom_events.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/custom_events/get_custom_events_analytics.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/custom_events/get_custom_events_data.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/kpi.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/kpi/get_kpi_daily_new_users_date.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/kpi/get_kpi_dau_date.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/kpi/get_kpi_mau_30_days.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/kpi/get_kpi_uninstalls_date.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/purchases.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/purchases/get_list_product_id.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/purchases/get_number_of_purchases.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/purchases/get_revenue_series.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/segments.md,Rachel,User Targeting,rachel-feinberg
_docs/_api/endpoints/export/segments/get_segment.md,Rachel,User Targeting,rachel-feinberg
_docs/_api/endpoints/export/segments/get_segment_analytics.md,Rachel,User Targeting,rachel-feinberg
_docs/_api/endpoints/export/segments/get_segment_details.md,Rachel,User Targeting,rachel-feinberg
_docs/_api/endpoints/export/segments/post_cancel_export.md,Rachel,User Targeting,rachel-feinberg
_docs/_api/endpoints/export/sessions.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/sessions/get_sessions_analytics.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/user_data.md,Zair,Core Objects,zairro
_docs/_api/endpoints/export/user_data/post_users_global_control_group.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/user_data/post_users_identifier.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/export/user_data/post_users_segment.md,Rachel,Reporting,rachel-feinberg
_docs/_api/endpoints/media_library.md,Bre,FIX,bre-fitzgerald
_docs/_api/endpoints/media_library/manage_assets.md,Bre,FIX,bre-fitzgerald
_docs/_api/endpoints/media_library/manage_assets/create.md,Bre,FIX,bre-fitzgerald
_docs/_api/endpoints/media_library/manage_assets/replace_file.md,Bre,FIX,bre-fitzgerald
