path,size_bytes
assets/img/404.png,38093
assets/img/Basics1.gif,7588896
assets/img/Braze Komo Images v2/Braze-Komo-Step1.png,184098
assets/img/Braze Komo Images v2/Braze-Komo-Step2a.png,118372
assets/img/Braze Komo Images v2/Braze-Komo-Step2b.png,374719
assets/img/Braze Komo Images v2/Braze-Komo-Step3a.png,273365
assets/img/Braze Komo Images v2/Braze-Komo-Step3b.png,235669
assets/img/Canvas2.png,25135
assets/img/GitHub-Mark-32px.png,613
assets/img/Octolis/Braze_screen1.png,38621
assets/img/ab_create_8.png,27367
assets/img/ab_send_winning_variant.png,52565
assets/img/action-based-delivery.png,38675
assets/img/actionableme/image1.png,202579
assets/img/ada/ada-braze-1.png,19712
assets/img/ada/ada-braze-2.png,36429
assets/img/ada/ada-braze-3.png,27351
assets/img/ada/ada-braze-4.png,28512
assets/img/add-user.gif,2927511
assets/img/add_new_user_1.png,28281
assets/img/add_new_user_2.png,17899
assets/img/ai_agent/agent_activity_logs.png,26027
assets/img/ai_step1.png,6355
assets/img/ai_step2.png,52102
assets/img/ai_step3.png,70525
assets/img/ai_step4.png,23910
assets/img/ai_step5.png,24598
assets/img/ai_use_cases/ab_test_personalized_variant.png,119375
assets/img/ai_use_cases/ab_test_winning_variant.png,286807
assets/img/ai_use_cases/cta_testing_variants.png,1130373
assets/img/ai_use_cases/tone_testing_variants.png,57722
assets/img/ai_use_cases/winning_variant_results.png,137527
assets/img/amperity/activate2.png,20691
assets/img/amperity/amperity2.png,31857
assets/img/amperity/amperity3.png,36390
assets/img/amperity/amperity4.png,27939
assets/img/amperity/amperity5.png,12927
assets/img/amperity/amperity6.png,70309
assets/img/amperity/amperity7.png,87926
assets/img/amperity/destinationconfiguration.png,18659
assets/img/amplitude5.png,42867
assets/img/amplitude6.png,23731
assets/img/android.png,20416
assets/img/android/android_13_timeline.png,9886
assets/img/android/push_integration/create_a_service_account/complete-service-account-creation.png,36402
assets/img/android/push_integration/create_a_service_account/review-permissions.png,21379
assets/img/android/push_integration/create_a_service_account/select-excess-permissions.png,17202
assets/img/android/push_integration/migration/upload_json_credentials/upload-json-file.png,40513
assets/img/android/push_integration/migration/verify-project-id/project-id-gcp.png,23544
assets/img/android/push_integration/migration/verify-project-id/project-id-gfb.png,36868
assets/img/android/push_integration/migration/verify-sender-id/verify-sender-id-firebase.png,47754
assets/img/android/push_integration/migration/verify-sender-id/verify-sender-id.png,14349
assets/img/android/push_integration/revert-credentials.png,35927
assets/img/android_tv.png,372994
assets/img/api_usage_alerts/api_usage_alerts3.png,40001
assets/img/app_level_stats.png,16026
assets/img/app_settings/credits_usage_message_archivin.png,10868
assets/img/appgroup_drilldown.png,19458
assets/img/appgroup_level_datapoint_usage_bycategory.png,16463
assets/img/appgroup_level_usage_time.png,17239
assets/img/arrow.png,991
assets/img/attribution/adjust2.png,19614
assets/img/audience_path/audience_path1.png,10277
assets/img/audience_sync/audience_sync6.png,31683
assets/img/audience_sync/audience_sync_pro3b.png,25278
assets/img/audience_sync/fb_sync2.png,20940
