normalized_lhs_key,bucket,develop_lhs,develop_rhs,pr_lhs,pr_rhs,develop_count,pr_count,notes
/docs#email_blacklist,content_or_lhs_change,/docs#email_blacklist,/docs/api/endpoints/email/post_blocklist,/docs#email_blacklist/,/docs/api/endpoints/email/post_blocklist,1,2,lhs
/docs/developer_guide/authentication,content_or_lhs_change,/docs/developer_guide/authentication,/docs/developer_guide/sdk_integration/authentication/,/docs/developer_guide/authentication,/docs/developer_guide/sdk_integration/authentication,1,1,semicolon+rhs
/docs/developer_guide/debugging,content_or_lhs_change,/docs/developer_guide/debugging,/docs/developer_guide/sdk_integration/debugging/,/docs/developer_guide/debugging,/docs/developer_guide/sdk_integration/debugging,1,1,semicolon+rhs
/docs/developer_guide/platform_integration_guides/legacy_sdks/macos,content_or_lhs_change,/docs/developer_guide/platform_integration_guides/legacy_sdks/macOS,/docs/developer_guide/platforms/legacy_sdks/macOS,/docs/developer_guide/platform_integration_guides/legacy_sdks/macos,/docs/developer_guide/platforms/legacy_sdks/macOS,1,1,lhs
/docs/developer_guide/platform_integration_guides/legacy_sdks/macos/initial_sdk_setup,content_or_lhs_change,/docs/developer_guide/platform_integration_guides/legacy_sdks/macOS/initial_sdk_setup,/docs/developer_guide/platforms/legacy_sdks/macOS/initial_sdk_setup,/docs/developer_guide/platform_integration_guides/legacy_sdks/macos/initial_sdk_setup,/docs/developer_guide/platforms/legacy_sdks/macOS/initial_sdk_setup,1,1,lhs
/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,content_or_lhs_change,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,1,1,rhs
/docs/partners/data_and_infrastructure_agility/cohort_import/mparticle,content_or_lhs_change,/docs/partners/data_and_infrastructure_agility/cohort_import/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle,/docs/partners/data_and_infrastructure_agility/cohort_import/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,1,1,rhs
/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle,content_or_lhs_change,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,1,1,rhs
/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle,develop_duplicate_collapsed,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mParticle/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle,2,1,lhs
/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle_for_currents,develop_duplicate_collapsed,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mParticle/mparticle_for_currents,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle_for_currents,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle_for_currents,2,1,lhs+rhs
/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle_for_currents,content_or_lhs_change,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle_for_currents,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle_for_currents,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle_for_currents,1,1,rhs
/docs/partners/message_orchestration/channel_extensions/ecommerce/shopify/shopify_catalogs/back_in_stock,semicolon_only,/docs/partners/message_orchestration/channel_extensions/ecommerce/shopify/shopify_catalogs/back_in_stock,/docs/partners/ecommerce/shopify/shopify_catalogs/#back-in-stock-and-price-drop-use-cases,/docs/partners/message_orchestration/channel_extensions/ecommerce/shopify/shopify_catalogs/back_in_stock,/docs/partners/ecommerce/shopify/shopify_catalogs/#back-in-stock-and-price-drop-use-cases,1,1,semicolon
/docs/partners/technology_partners/data_and_infrastructure_agility/customer_data_platform/mparticle,content_or_lhs_change,/docs/partners/technology_partners/data_and_infrastructure_agility/customer_data_platform/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle,/docs/partners/technology_partners/data_and_infrastructure_agility/customer_data_platform/mparticle,/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle,1,1,rhs
/docs/react_native/ios,develop_duplicate_collapsed,/docs/React_Native/iOS/,/docs/developer_guide/sdk_integration/?sdktab=react%20native&tab=ios,/docs/react_native/ios,/docs/developer_guide/sdk_integration/?sdktab=react%20native&tab=ios,2,1,lhs
/docs/sdk_changelogs,develop_duplicate_collapsed,/docs/SDK_Changelogs/,/docs/developer_guide/changelogs,/docs/sdk_changelogs,/docs/developer_guide/changelogs,2,1,lhs
/docs/user_guide/administrative/app_settings/company_settings/automateduser_provisioning,content_or_lhs_change,/docs/user_guide/administrative/app_settings/company_settings/automateduser_provisioning/,/docs/user_guide/administer/global/user_management/automated_user_provisioning,/docs/user_guide/administrative/app_settings/company_settings/automateduser_provisioning,/docs/user_guide/administer/global/user_management/automated_user_provisioning,1,1,lhs
/docs/user_guide/administrative/app_settings/eventuser_log_tab,content_or_lhs_change,/docs/user_guide/administrative/app_settings/eventuser_log_tab/,/docs/user_guide/administer/global/workspace_settings/logs_and_alerts/event_user_log,/docs/user_guide/administrative/app_settings/eventuser_log_tab,/docs/user_guide/administer/global/workspace_settings/logs_and_alerts/event_user_log,1,1,lhs
/docs/user_guide/administrative/app_settings/manage_your_brazeusers,content_or_lhs_change,/docs/user_guide/administrative/app_settings/manage_your_brazeusers/,/docs/user_guide/administer/global/user_management/manage_company_users,/docs/user_guide/administrative/app_settings/manage_your_brazeusers,/docs/user_guide/administer/global/user_management/manage_company_users,1,1,lhs
/docs/user_guide/administrative/app_settings/manage_your_brazeusers/teams,content_or_lhs_change,/docs/user_guide/administrative/app_settings/manage_your_brazeusers/teams/,/docs/user_guide/administer/global/user_management/teams,/docs/user_guide/administrative/app_settings/manage_your_brazeusers/teams,/docs/user_guide/administer/global/user_management/teams,1,1,lhs
/docs/user_guide/administrative/app_settings/manage_your_brazeusers/user_permissions,content_or_lhs_change,/docs/user_guide/administrative/app_settings/manage_your_brazeusers/user_permissions/,/docs/user_guide/administer/global/user_management/permissions,/docs/user_guide/administrative/app_settings/manage_your_brazeusers/user_permissions,/docs/user_guide/administer/global/user_management/permissions,1,1,lhs
/docs/user_guide/analytics/dashboard,content_or_lhs_change,/docs/user_guide/analytics/dashboard/,/docs/user_guide/analytics/dashboards,/docs/user_guide/analytics/dashboard,/docs/user_guide/analytics/dashboards,1,1,lhs
/docs/user_guide/brazeai/predictive_churn/messagingusers,content_or_lhs_change,/docs/user_guide/brazeai/predictive_churn/messagingusers/,/docs/user_guide/brazeai/predictive_suite/predictive_churn/messaging_users,/docs/user_guide/brazeai/predictive_churn/messagingusers,/docs/user_guide/brazeai/predictive_suite/predictive_churn/messaging_users,1,1,lhs
/docs/user_guide/brazeai/predictive_events/messagingusers,content_or_lhs_change,/docs/user_guide/brazeai/predictive_events/messagingusers/,/docs/user_guide/brazeai/predictive_suite/predictive_events/messaging_users,/docs/user_guide/brazeai/predictive_events/messagingusers,/docs/user_guide/brazeai/predictive_suite/predictive_events/messaging_users,1,1,lhs
/docs/user_guide/channels/in_app_messages/traditional/customize,content_or_lhs_change,/docs/user_guide/channels/in_app_messages/traditional/customize/,/docs/user_guide/channels/in_app_messages/customize,/docs/user_guide/channels/in_app_messages/traditional/customize,/docs/user_guide/channels/in_app_messages/customize,1,1,lhs
/docs/user_guide/channels/webhooks/understanding_webhooks,content_or_lhs_change,/docs/user_guide/channels/webhooks/understanding_webhooks/,/docs/user_guide/channels/webhooks,/docs/user_guide/channels/webhooks/understanding_webhooks,/docs/user_guide/channels/webhooks,1,1,lhs
/docs/user_guide/channels/whatsapp/overview,content_or_lhs_change,/docs/user_guide/channels/whatsapp/overview/,/docs/user_guide/channels/whatsapp/whatsapp_setup,/docs/user_guide/channels/whatsapp/overview,/docs/user_guide/channels/whatsapp/whatsapp_setup,1,1,lhs
/docs/user_guide/channels/whatsapp/overview/byo_connector,content_or_lhs_change,/docs/user_guide/channels/whatsapp/overview/byo_connector/,/docs/user_guide/channels/whatsapp/whatsapp_setup/byo_connector,/docs/user_guide/channels/whatsapp/overview/byo_connector,/docs/user_guide/channels/whatsapp/whatsapp_setup/byo_connector,1,1,lhs
/docs/user_guide/channels/whatsapp/overview/transfer_between_workspaces,content_or_lhs_change,/docs/user_guide/channels/whatsapp/overview/transfer_between_workspaces/,/docs/user_guide/channels/whatsapp/whatsapp_setup/whatsapp_phone_numbers/transfer_between_workspaces,/docs/user_guide/channels/whatsapp/overview/transfer_between_workspaces,/docs/user_guide/channels/whatsapp/whatsapp_setup/whatsapp_phone_numbers/transfer_between_workspaces,1,1,lhs
/docs/user_guide/channels/whatsapp/whatsapp_campaign/optimized_delivery,content_or_lhs_change,/docs/user_guide/channels/whatsapp/whatsapp_campaign/optimized_delivery/,/docs/user_guide/channels/whatsapp/message_features_and_optimization/optimized_delivery,/docs/user_guide/channels/whatsapp/whatsapp_campaign/optimized_delivery,/docs/user_guide/channels/whatsapp/message_features_and_optimization/optimized_delivery,1,1,lhs
/docs/user_guide/channels/whatsapp/whatsapp_campaign/product_messages,content_or_lhs_change,/docs/user_guide/channels/whatsapp/whatsapp_campaign/product_messages/,/docs/user_guide/channels/whatsapp/message_features_and_optimization/product_messages,/docs/user_guide/channels/whatsapp/whatsapp_campaign/product_messages,/docs/user_guide/channels/whatsapp/message_features_and_optimization/product_messages,1,1,lhs
/docs/user_guide/channels/whatsapp/whatsapp_campaign/whatsapp_flows,content_or_lhs_change,/docs/user_guide/channels/whatsapp/whatsapp_campaign/whatsapp_flows/,/docs/user_guide/channels/whatsapp/message_features_and_optimization/whatsapp_flows,/docs/user_guide/channels/whatsapp/whatsapp_campaign/whatsapp_flows,/docs/user_guide/channels/whatsapp/message_features_and_optimization/whatsapp_flows,1,1,lhs
/docs/user_guide/channels/whatsapp/whatsapp_use_cases/external_system,content_or_lhs_change,/docs/user_guide/channels/whatsapp/whatsapp_use_cases/external_system/,/docs/user_guide/channels/whatsapp/use_cases/whatsapp_and_external_systems,/docs/user_guide/channels/whatsapp/whatsapp_use_cases/external_system,/docs/user_guide/channels/whatsapp/use_cases/whatsapp_and_external_systems,1,1,lhs
/docs/user_guide/data/unification/cloud_ingestion/deleteusers,content_or_lhs_change,/docs/user_guide/data/unification/cloud_ingestion/deleteusers/,/docs/user_guide/data/unification/cloud_ingestion/delete_users,/docs/user_guide/data/unification/cloud_ingestion/deleteusers,/docs/user_guide/data/unification/cloud_ingestion/delete_users,1,1,lhs
/docs/user_guide/data/unification/user_data/deleteusers,content_or_lhs_change,/docs/user_guide/data/unification/user_data/deleteusers/,/docs/user_guide/audience/manage_audience/user_profiles/delete_users,/docs/user_guide/data/unification/user_data/deleteusers,/docs/user_guide/audience/manage_audience/user_profiles/delete_users,1,1,lhs
/docs/user_guide/data/unification/user_data/importusers,content_or_lhs_change,/docs/user_guide/data/unification/user_data/importusers/,/docs/user_guide/audience/manage_audience/import_users,/docs/user_guide/data/unification/user_data/importusers,/docs/user_guide/audience/manage_audience/import_users,1,1,lhs
/docs/user_guide/data/unification/user_data/importusers/csv,content_or_lhs_change,/docs/user_guide/data/unification/user_data/importusers/csv/,/docs/user_guide/audience/manage_audience/import_users/csv_import,/docs/user_guide/data/unification/user_data/importusers/csv,/docs/user_guide/audience/manage_audience/import_users/csv_import,1,1,lhs
/docs/user_guide/data/unification/user_data/user_profile_lifecycle/anonymoususers,content_or_lhs_change,/docs/user_guide/data/unification/user_data/user_profile_lifecycle/anonymoususers/,/docs/user_guide/data/unification/user_data/user_profile_lifecycle/anonymous_users,/docs/user_guide/data/unification/user_data/user_profile_lifecycle/anonymoususers,/docs/user_guide/data/unification/user_data/user_profile_lifecycle/anonymous_users,1,1,lhs
/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/activeuser_campaigns,content_or_lhs_change,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/activeuser_campaigns/,/docs/user_guide/messaging/campaigns/ideas_and_strategies/active_user_campaigns,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/activeuser_campaigns,/docs/user_guide/messaging/campaigns/ideas_and_strategies/active_user_campaigns,1,1,lhs
/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/capturing_lapsingusers,content_or_lhs_change,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/capturing_lapsingusers/,/docs/user_guide/messaging/campaigns/ideas_and_strategies/capturing_lapsing_users,/docs/user_guide/engagement_tools/campaigns/ideas_and_strategies/capturing_lapsingusers,/docs/user_guide/messaging/campaigns/ideas_and_strategies/capturing_lapsing_users,1,1,lhs
