normalized_lhs_key,change_bucket,develop_count,pr_count,develop_last_lhs,develop_last_rhs,develop_last_line,pr_last_lhs,pr_last_rhs,pr_last_line,notes
/docs#email_blacklist,modified,1,2,/docs#email_blacklist,/docs/api/endpoints/email/post_blocklist,350,/docs#email_blacklist/,/docs/api/endpoints/email/post_blocklist,4284,"develop 1 row(s), PR 2 row(s) | lhs string canonicalized"
/docs/#email_blacklist,removed_from_pr,1,0,/docs/#email_blacklist/,/docs/api/endpoints/email/post_blocklist,4289,"","","","develop 1 row(s), PR 0 row(s)"
/docs/api/api_key#how-can-i-use-it,removed_from_pr,1,0,/docs/api/api_key#how-can-i-use-it,/docs/api/basics,4348,"","","","develop 1 row(s), PR 0 row(s)"
/docs/api/api_key/#how-can-i-use-it,added_in_pr,0,1,"","","",/docs/api/api_key/#how-can-i-use-it,/docs/api/basics,4343,"develop 0 row(s), PR 1 row(s)"
/docs/cloning_canvases#limitations,removed_from_pr,1,0,/docs/cloning_canvases#limitations,/docs/user_guide/messaging/canvas/managing_canvases/cloning_canvases/#limitations,4332,"","","","develop 1 row(s), PR 0 row(s)"
/docs/cloning_canvases/#limitations,added_in_pr,0,1,"","","",/docs/cloning_canvases/#limitations,/docs/user_guide/messaging/canvas/managing_canvases/cloning_canvases/#limitations,4327,"develop 0 row(s), PR 1 row(s)"
/docs/cloud_ingestion#product-setup,removed_from_pr,1,0,/docs/cloud_ingestion#product-setup,/docs/user_guide/data/unification/cloud_ingestion/#product-setup,4334,"","","","develop 1 row(s), PR 0 row(s)"
/docs/cloud_ingestion/#product-setup,added_in_pr,0,1,"","","",/docs/cloud_ingestion/#product-setup,/docs/user_guide/data/unification/cloud_ingestion/#product-setup,4329,"develop 0 row(s), PR 1 row(s)"
/docs/developer_guide/authentication,modified,1,1,/docs/developer_guide/authentication,/docs/developer_guide/sdk_integration/authentication/,2218,/docs/developer_guide/authentication,/docs/developer_guide/sdk_integration/authentication,2216,semicolon fix
/docs/developer_guide/debugging,modified,1,1,/docs/developer_guide/debugging,/docs/developer_guide/sdk_integration/debugging/,2219,/docs/developer_guide/debugging,/docs/developer_guide/sdk_integration/debugging,2217,semicolon fix
