stale_target,suggested_jekyll_url,reason,example_from
/docs/api/endpoints/catalogs/catalog_management/synchronous/delete_catalog_items_bulk/,/docs/api/endpoints/catalogs/catalog_items/asynchronous/delete_catalog_items_bulk/,unique_basename_prefix_4,/docs/api/endpoints/catalogs/catalogs/synchronous/delete_catalog
/docs/developer_guide/platforms/legacy_sdks/ios/news_feed/customization/custom_styling,/docs/developer_guide/platforms/legacy_sdks/ios/content_cards/customization/custom_styling/,unique_basename_prefix_5,/docs/developer_guide/platform_integration_guides/legacy_sdks/ios/news_feed/customization/custom_styling
/docs/developer_guide/platforms/swift/archived_updates/ios_14,/docs/developer_guide/platforms/swift/_archived_updates/ios_14/,unique_basename_prefix_4,/docs/developer_guide/platform_integration_guides/swift/archived_updates/ios_14
/docs/developer_guide/platforms/swift/archived_updates/ios_15,/docs/developer_guide/platforms/swift/_archived_updates/ios_15/,unique_basename_prefix_4,/docs/developer_guide/platform_integration_guides/swift/archived_updates/ios_15
/docs/developer_guide/platforms/swift/archived_updates/ios_16,/docs/developer_guide/platforms/swift/_archived_updates/ios_16/,unique_basename_prefix_4,/docs/developer_guide/platform_integration_guides/swift/archived_updates/ios_16
/docs/developer_guide/platforms/swift/archived_updates/ios_17,/docs/developer_guide/platforms/swift/_archived_updates/ios_17/,unique_basename_prefix_4,/docs/developer_guide/platform_integration_guides/swift/archived_updates/ios_17
/docs/partners/data_and_analytics/customer_data_platform/mparticle/mparticle_for_currents,/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents/,unique_basename_prefix_4,/docs/partners/data_and_infrastructure_agility/customer_data_platform/mParticle/mparticle_for_currents
/docs/partners/message_orchestration/attribution/branch/branch_for_attribution/,/docs/partners/message_orchestration/attribution/branch_for_attribution/,unique_basename_prefix_4,/docs/partners/advertising_technologies/attribution/branch_for_attribution
/docs/partners/message_personalization/dynamic_content/certona/,/docs/partners/message_personalization/dynamic_content/personalized_recommendations/certona/,unique_basename_prefix_4,/docs/partners/data_augmentation/recommendation/certona
/docs/partners/message_personalization/dynamic_content/playable/,/docs/partners/message_personalization/dynamic_content/visual_and_interactive_content/playable/,unique_basename_prefix_4,/docs/partners/channel_extensions/creative_and_personalization/intelligent_content/playable
/docs/user_guide/analytics/reports/data_by_segments,/docs/user_guide/analytics/reports/query_builder/data_by_segments/,unique_basename_prefix_4,/docs/user_guide/data_and_analytics/reporting/data_by_segments
/docs/user_guide/audience/segments/sql_segments/sql_segments_tables/,/docs/user_guide/audience/segments/segment_extension/sql_segments/sql_segments_tables/,unique_basename_prefix_4,/docs/sql_segments_tables
/docs/user_guide/channels/in_app_messages/drag_and_drop/style_settings/,/docs/user_guide/channels/in_app_messages/customize/style_settings/,unique_basename_prefix_4,/docs/user_guide/channels/in-app_messages/drag_and_drop/style_settings
/docs/user_guide/data/distribution/braze_currents/available_partners,/docs/user_guide/data/distribution/braze_currents/setting_up_currents/available_partners/,unique_basename_prefix_5,/docs/user_guide/data/braze_currents/available_partners
/docs/user_guide/data/distribution/braze_currents/event_delivery_semantics,/docs/user_guide/data/distribution/braze_currents/setting_up_currents/event_delivery_semantics/,unique_basename_prefix_5,/docs/user_guide/data/braze_currents/event_delivery_semantics
/docs/user_guide/data/distribution/braze_currents/how_braze_uses_currents,/docs/user_guide/data/distribution/braze_currents/use_cases/how_braze_uses_currents/,unique_basename_prefix_5,/docs/user_guide/data/braze_currents/how_braze_uses_currents
/docs/user_guide/data/distribution/braze_currents/s3_to_snowflake,/docs/user_guide/data/distribution/braze_currents/use_cases/s3_to_snowflake/,unique_basename_prefix_5,/docs/user_guide/data/braze_currents/s3_to_snowflake
/docs/user_guide/data/distribution/braze_currents/transferring_data_to_redshift,/docs/user_guide/data/distribution/braze_currents/use_cases/transferring_data_to_redshift/,unique_basename_prefix_5,/docs/user_guide/data/braze_currents/transferring_data_to_redshift
/docs/user_guide/messaging/campaigns/managing_campaigns/change_your_campaign_after_launch/#edit-your-campaign-after-launch,/docs/user_guide/messaging/campaigns/manage_campaigns/change_your_campaign_after_launch/,unique_basename_prefix_4,/docs/user_guide/engagement_tools/campaigns/managing_campaigns/change_your_campaign_after_launch/#editing-your-campaign-after-launch
/docs/user_guide/messaging/templates/canvas_templates/abandoned_cart,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/abandoned_cart/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/abandoned_cart
/docs/user_guide/messaging/templates/canvas_templates/back_in_stock,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/back_in_stock/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/back_in_stock
/docs/user_guide/messaging/templates/canvas_templates/email_signup,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/email_signup/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/email_signup
/docs/user_guide/messaging/templates/canvas_templates/feature_adoption,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/feature_adoption/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/feature_adoption
/docs/user_guide/messaging/templates/canvas_templates/lapsed_user,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/lapsed_user/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/lapsed_user
/docs/user_guide/messaging/templates/canvas_templates/post_purchase_feedback,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/post_purchase_feedback/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/post_purchase_feedback
/docs/user_guide/messaging/templates/canvas_templates/preference_survey,/docs/user_guide/messaging/templates/canvas_templates/braze_templates/preference_survey/,unique_basename_prefix_5,/docs/user_guide/messaging/canvas/get_started/braze_templates/preference_survey
